code,name,suggested_price_from_lab,price
HPR,17-HIDROXI PROGESTERONA,18877, $26.428
NU5,5-NUCLEOTIDASA,9536, $13.350
BHB,ACIDO BETA HIDROXI BUTIRICO,42629, $59.681
ABI,ACIDOS BILIARES,15047, $21.066
Ac graso,ACIDOS GRASOS SAT.DE CADENA LARGA,275356, $385.498
ACYL,ACIL CARNITINA,275356, $385.498
ACTH,ACTH CORTICOTROFINA,4890, $6.846
AGUA-B,AGUA ANALISIS BATERIOLOGICO,48552, $67.973
AGUA-F,AGUA ANALISIS FISICO QUIMICO,125565, $175.791
ALB,ALBUMINA,8000, $11.200
ALC O,ALCOHOL EN ORINA,7039, $9.855
ALC S,ALCOHOL EN SUERO,5085, $7.119
ALD,ALDOLASA,5050, $7.070
ALR,ALDOSTERONA PLASMATICA,26975, $37.765
ALO,ALDOSTERONA en orina  (RIA),26975, $37.765
AFP,ALFA FETO PROTEINA,4116, $5.762
ALP,ALPRAZOLAN,25706, $35.988
AL,ALUMINIO,40125, $56.175
AMS,AMILASEMIA,1295, $1.813
AMU,AMILASURIA,1295, $1.813
AMIO,AMINOACIDOS URINARIO,237178, $332.049
AN4,ANDROSTENODIONA (delta 4),5734, $8.028
DPG A,ANTIC ANTI GLIADINA DEAMINADA IgA,17161, $24.025
AT3F,ANTIC ANTI TROMBINA III FUNCIONAL,13561, $18.985
BRUCE Tt,ANTIC. ANTI BRUCELOSIS TOTALES,18974, $26.564
DPG G,GANTIC ANTI GLIADINA DEAMINADA IgG,24415, $34.181
CCP,ANTIC. ANTI PEPTIDO CITRULINADO CICLICO IgG (Anti,28043, $39.260
AATGS,ANTIC. ANTI TIROGLOBULINA SENSIBLE,3146, $4.404
AAF,ANTIC.ANTI ACIDO FOSFATIDICO IgG,11873, $16.622
AAM,ANTIC.ANTI ACIDO FOSFATIDICO IgM,11678, $16.349
ANCA,ANTIC.ANTI ANCA (ANTI-GRANULOCITOS),27394, $38.352
BETA2G,ANTIC.ANTI BETA 2 GLICOPROTEINA IgA,41429, $58.001
CARA,ANTIC.ANTI CARDIOLIPINAS IgA,31335, $43.869
CAR,ANTIC.ANTI CARDIOLIPINAS IgG,12543, $17.560
CAM,ANTIC.ANTI CARDIOLIPINAS IgM,12543, $17.560
CENB,ANTIC.ANTI CENTROMERO B,2909, $4.073
DND,ANTIC.ANTI DNA - IFI-,10129, $14.181
END,ANTIC.ANTI ENDOMISIO IgA,17391, $24.347
ENG,ANTIC.ANTI ENDOMISIO IgG,16986, $23.780
AAFOL G,ANTIC.ANTI FOSFOLIPIDOS IgG,15033, $21.046
AAFOL M,ANTIC.ANTI FOSFOLIPIDOS IgM,15033, $21.046
GAA,ANTIC.ANTI GLIADINA IgA,9717, $13.604
GAG,ANTIC.ANTI GLIADINA IgG,9717, $13.604
AAH,ANTIC.ANTI HISTONA,22692, $31.769
AAI,ANTIC.ANTI INSULINA,19714, $27.600
AJO,ANTIC.ANTI JO1,14928, $20.899
MII,ANTIC.ANTI MITOCONDRIAL IFI,8266, $11.572
