code,name,suggested_price_from_lab,price
HPR,17-HIDROXI PROGESTERONA,9499,$14.249
NU5,5-NUCLEOTIDASA,4799,$7.198
BHB,ACIDO BETA HIDROXI BUTIRICO,21452,$32.178
ABI,ACIDOS BILIARES,7572,$11.358
Ac graso,ACIDOS GRASOS SAT.DE CADENA LARGA,138565,$207.848
ACYL,ACIL CARNITINA,138565,$207.848
ACTH,ACTH CORTICOTROFINA,2461,$3.691
AGUA-B,AGUA ANALISIS BATERIOLOGICO,24432,$36.648
AGUA-F,AGUA ANALISIS FISICO QUIMICO,63187,$94.780
ALB,ALBUMINA,6270,$9.405
ALC O,ALCOHOL EN ORINA,3542,$5.313
ALC S,ALCOHOL EN SUERO,2559,$3.839
ALD,ALDOLASA,2542,$3.812
ALR,ALDOSTERONA PLASMATICA,13575,$20.362
ALO,ALDOSTERONA en orina  (RIA),13575,$20.362
AFP,ALFA FETO PROTEINA,2071,$3.107
ALP,ALPRAZOLAN,12936,$19.404
AL,ALUMINIO,20192,$30.288
AMS,AMILASEMIA,652,$977
AMU,AMILASURIA,652,$977
AMIO,AMINOACIDOS URINARIO,119353,$179.029
AN4,ANDROSTENODIONA (delta 4),2886,$4.328
DPG A,ANTIC ANTI GLIADINA DEAMINADA IgA,8636,$12.953
AT3F,ANTIC ANTI TROMBINA III FUNCIONAL,6824,$10.236
BRUCE Tt,ANTIC. ANTI BRUCELOSIS TOTALES,9548,$14.322
DPG G,GANTIC ANTI GLIADINA DEAMINADA IgG,12286,$18.429
CCP,ANTIC. ANTI PEPTIDO CITRULINADO CICLICO IgG (Anti,14112,$21.168
AATGS,ANTIC. ANTI TIROGLOBULINA SENSIBLE,1583,$2.375
AAF,ANTIC.ANTI ACIDO FOSFATIDICO IgG,5975,$8.962
AAM,ANTIC.ANTI ACIDO FOSFATIDICO IgM,5876,$8.815
ANCA,ANTIC.ANTI ANCA (ANTI-GRANULOCITOS),13785,$20.678
BETA2G,ANTIC.ANTI BETA 2 GLICOPROTEINA IgA,20848,$31.272
CARA,ANTIC.ANTI CARDIOLIPINAS IgA,15769,$23.653
CAR,ANTIC.ANTI CARDIOLIPINAS IgG,6312,$9.467
CAM,ANTIC.ANTI CARDIOLIPINAS IgM,6312,$9.467
CENB,ANTIC.ANTI CENTROMERO B,1464,$2.196
DND,ANTIC.ANTI DNA - IFI-,5097,$7.646
END,ANTIC.ANTI ENDOMISIO IgA,8751,$13.127
ENG,ANTIC.ANTI ENDOMISIO IgG,8548,$12.822
AAFOL G,ANTIC.ANTI FOSFOLIPIDOS IgG,7565,$11.347
AAFOL M,ANTIC.ANTI FOSFOLIPIDOS IgM,7565,$11.347
GAA,ANTIC.ANTI GLIADINA IgA,4890,$7.335
GAG,ANTIC.ANTI GLIADINA IgG,4890,$7.335
AAH,ANTIC.ANTI HISTONA,11419,$17.129
AAI,ANTIC.ANTI INSULINA,9920,$14.880
AJO,ANTIC.ANTI JO1,7512,$11.268
MII,ANTIC.ANTI MITOCONDRIAL IFI,4160,$6.240
MII M2,ANTIC.ANTI MITOCONDRIAL M2,11942,$17.913
AME,ANTIC.ANTI MUSCULO ESTRIADO,2124,$3.186
FAN,ANTIC.ANTI NUCLEARES IFI (FAN),3904,$5.855
AARPQ,ANTIC.ANTI PLAQUETAS,129371,$194.057
AP3,ANTIC.ANTI PROTEINASE 3,10693,$16.039
TRAB,ANTIC.ANTI RECEPTOR DE TSH (TRAB),10461,$15.691
RNP,ANTIC.ANTI RNP,7698,$11.547
ARO,ANTIC.ANTI SSA (o ANTI RO),7059,$10.589
Ala,ANTIC.ANTI SSB (o ANTI La),7059,$10.589
SCL,ANTIC.ANTI Scl 70,7059,$10.589
ASM,ANTIC.ANTI Sm (Smith),7059,$10.589
AATG,ANTIC.ANTI TIROGLOBULINA,1583,$2.375
TPO,ANTIC.ANTI TIROPEROXIDASA,1464,$2.196
ATG A,ANTIC.ANTI TRANSGLUTAMINASA IgA,5890,$8.836
ATG G,ANTIC.ANTI TRANSGLUTAMINASA IgG,9713,$14.570
ASO,"ANTIESTREPTOLISINA ""O""",1653,$2.480
PSA,ANTIGENO PROSTATICO ESPECIFICO (PSA),1765,$2.648
PSA-L,ANTIGENO PROSTATICO ESPECIFICO (PSA) - Libre,3117,$4.676
ATRMF,ANTITRIPSINA EN M. FECAL,3661,$5.492
APO A,"APOLIPOPROTEINA ""A""",2334,$3.502
APO B,"APOLIPOPROTEINA ""B""",2334,$3.502
ARL,ARTRITIS REUMATOIDEA P DEL LATEX,2194,$3.291
AAS,ASCORBICO ACIDO,21304,$31.957
BARTO G,BARTONELLA HENSELAE IgG,24878,$37.317
BARTO M,BARTONELLA HENSELAE IgM,24878,$37.317
BEN,BENZODIACEPINA,5831,$8.746
B2M,BETA 2 MICROGLOBULINA,2345,$3.517
B2O,BETA 2 MICROGLOBULINA en orina,2345,$3.517
BCROSS,BETA CROSSLAPS,8393,$12.590
BRR,BILIRRUBINEMIA TOT.DIR.INDIR.,292,$438
BPG,BORDETELLA PERTUSSIS IgG,12830,$19.246
BPM,BORDETELLA PERTUSSIS IgM,12830,$19.246
C125,CA 125 (ovario),2387,$3.581
C15,CA 15/3 (mama),2324,$3.486
C19,CA 19/9 (Digest.Ginecolog.),2103,$3.154
C21,CA 21-1,14357,$21.536
C72,CA 72-4,9387,$14.080
CLKL,CADENAS LIVIANAS en suero cuali,34605,$51.908
CKL,"CADENAS LIVIANAS,KAPPA Y LAMBDA CUANTI",33050,$49.575
CAIL,CALCIO IONICO L,1151,$1.727
CAS,CALCIO SERICO TOTAL,556,$834
CAU,CALCIO en orina,556,$834
CAUE,CALCIO en orina espontanea,557,$836
CAL,CALCITONINA Plasmática,3412,$5.118
C BILIAR,CALCULO BILIAR,14779,$22.168
CBZ,CARBAMAZEPINA,2675,$4.012
BGT,CARIOTIPO-BANDEO G-T,222849,$334.274
