code,name,suggested_price_from_lab,price
HPR,17-HIDROXI PROGESTERONA,7780,$11.670
NU5,5-NUCLEOTIDASA,3930,$5.895
BHB,ACIDO BETA HIDROXI BUTIRICO,17569,$26.354
ABI,ACIDOS BILIARES,6201,$9.302
Ac graso,ACIDOS GRASOS SAT.DE CADENA LARGA,113485,$170.228
ACYL,ACIL CARNITINA,113485,$170.228
ACTH,ACTH CORTICOTROFINA,2015,$3.023
AGUA-B,AGUA ANALISIS BATERIOLOGICO,20010,$30.015
AGUA-F,AGUA ANALISIS FISICO QUIMICO,51750,$77.625
ALC O,ALCOHOL EN ORINA,2901,$4.352
ALC S,ALCOHOL EN SUERO,2096,$3.144
ALD,ALDOLASA,2082,$3.123
ALR,ALDOSTERONA PLASMATICA,11118,$16.677
ALO,ALDOSTERONA en orina (RIA),11118,$16.677
AFP,ALFA FETO PROTEINA,1696,$2.544
ALP,ALPRAZOLAN,10594,$15.891
AL,ALUMINIO,16537,$24.806
AMS,AMILASEMIA,534,$801
AMU,AMILASURIA,534,$801
AMIO,AMINOACIDOS URINARIO,97750,$146.625
AN4,ANDROSTENODIONA (delta 4),2363,$3.545
DPG A,ANTIC. ANTI GLIADINA DEAMINADA IgA,7073,$10.610
AT3F,ANTIC. ANTI TROMBINA III FUNCIONAL,5589,$8.384
BRUCE Tt,ANTIC. ANTI BRUCELOSIS TOTALES,7820,$11.730
DPG G,ANTIC. ANTI GLIADINA DEAMINADA IgG,10063,$15.095
CCP,ANTIC. ANTI PEPTIDO CITRULINADO CICLICO IgG (Anti),11558,$17.337
AATGS,ANTIC. ANTI TIROGLOBULINA SENSIBLE,1297,$1.946
AAF,ANTIC. ANTI ACIDO FOSFATIDICO IgG,4893,$7.340
AAM,ANTIC. ANTI ACIDO FOSFATIDICO IgM,4813,$7.220
ANCA,ANTIC. ANTI ANCA (ANTI-GRANULOCITOS),11290,$16.935
CARA,ANTIC. ANTI CARDIOLIPINAS IgA,12915,$19.373
CAR,ANTIC. ANTI CARDIOLIPINAS IgG,5169,$7.754
CAM,ANTIC. ANTI CARDIOLIPINAS IgM,5169,$7.754
CENB,ANTIC. ANTI CENTROMERO B,1199,$1.799
DND,ANTIC. ANTI DNA - IFI-,4175,$6.263
END,ANTIC. ANTI ENDOMISIO IgA,7167,$10.751
ENG,ANTIC. ANTI ENDOMISIO IgG,7001,$10.502
AAFOL G,ANTIC. ANTI FOSFOLIPIDOS IgG,6196,$9.294
AAFOL M,ANTIC. ANTI FOSFOLIPIDOS IgM,6196,$9.294
GAA,ANTIC. ANTI GLIADINA IgA,4005,$6.008
GAG,ANTIC. ANTI GLIADINA IgG,4005,$6.008
AAH,ANTIC. ANTI HISTONA,9352,$14.028
AAI,ANTIC. ANTI INSULINA,8125,$12.188
AJO,ANTIC. ANTI JO1,6153,$9.230
MII,ANTIC. ANTI MITOCONDRIAL IFI,3407,$5.111
MII M2,ANTIC. ANTI MITOCONDRIAL M2,9781,$14.672
AME,ANTIC. ANTI MUSCULO ESTRIADO,1739,$2.609
FAN,ANTIC. ANTI NUCLEARES IFI (FAN),3197,$4.796
AARPQ,ANTIC. ANTI PLAQUETAS,105955,$158.933
AP3,ANTIC. ANTI PROTEINASE 3,8757,$13.136
TRAB,ANTIC. ANTI RECEPTOR DE TSH (TRAB),8568,$12.852
RNP,ANTIC. ANTI RNP,6305,$9.458
ARO,ANTIC. ANTI SSA (o ANTI RO),5782,$8.673
Ala,ANTIC. ANTI SSB (o ANTI La),5782,$8.673
SCL,ANTIC. ANTI Scl 70,5782,$8.673
ASM,ANTIC. ANTI Sm (Smith),5782,$8.673
AATG,ANTIC. ANTI TIROGLOBULINA,1297,$1.946
TPO,ANTIC. ANTI TIROPEROXIDASA,1199,$1.799
ATG A,ANTIC. ANTI TRANSGLUTAMINASA IgA,4824,$7.236
ATG G,ANTIC. ANTI TRANSGLUTAMINASA IgG,7955,$11.933
ASO,"ANTIESTREPTOLISINA ""O""",1354,$2.031
PSA,ANTIGENO PROSTATICO ESPECIFICO (PSA),1446,$2.169
PSA-L,ANTIGENO PROSTATICO ESPECIFICO (PSA) - Libre,2553,$3.830
ATRMF,ANTITRIPSINA EN M. FECAL,2999,$4.499
APO A,"APOLIPOPROTEINA ""A""",1912,$2.868
APO B,"APOLIPOPROTEINA ""B""",1912,$2.868
ARL,ARTRITIS REUMATOIDEA P DEL LATEX,1797,$2.696
AAS,ASCORBICO ACIDO,17448,$26.172
BARTO G,BARTONELLA HENSELAE IgG,20375,$30.563
BARTO M,BARTONELLA HENSELAE IgM,20375,$30.563
BEN,BENZODIACEPINA,4775,$7.163
B2M,BETA 2 MICROGLOBULINA,1921,$2.882
B2O,BETA 2 MICROGLOBULINA en orina,1921,$2.882
BCROSS,BETA CROSSLAPS,6874,$10.311
BRR,BILIRRUBINEMIA TOT.DIR.INDIR.,239,$359
BPG,BORDETELLA PERTUSSIS IgG,10508,$15.762
BPM,BORDETELLA PERTUSSIS IgM,10508,$15.762
C125,CA 125 (ovario),1955,$2.933
C15,CA 15/3 (mama),1903,$2.855
C19,CA 19/9 (Digest.Ginecolog.),1722,$2.583
C21,CA 21-1,11759,$17.639
C72,CA 72-4,7688,$11.532
CLKL,CADENAS LIVIANAS en suero cuali,28342,$42.513
CKL,"CADENAS LIVIANAS,KAPPA Y LAMBDA CUANTI",27068,$40.602
CAIL,CALCIO IONICO L,943,$1.415
CAS,CALCIO SERICO TOTAL,455,$683
CAU,CALCIO en orina,455,$683
CAUE,CALCIO en orina espontanea,457,$686
CAL,CALCITONINA Plasmática,2795,$4.193
C BILIAR,CALCULO BILIAR,12104,$18.156
CBZ,CARBAMAZEPINA,2191,$3.287
BGT,CARIOTIPO-BANDEO G-T,182514,$273.771
CATP,CATECOLAMINAS PLASMATICAS,18998,$28.497
CD3,CD 3 SUBPOBLACION LINFOCITARIA POR CF,11264,$16.896
CD57,CD 4 SUBPOBLAC. LINFOCITARIA Citometria de fluj,11261,$16.892
CD4,CD 4 SUBPOBLACION LINFOCITARIA POR CF,11261,$16.892
CEA,CEA ANTIG CARCINOEMBRIONARIO,1696,$2.544
CHAT,CHAGAS ANTIC. TOTALES,1383,$2.075
CHI,CHAGAS IFI IgG,1800,$2.700
CHM,CHAGAS IFI IgM,2668,$4.002
CHH,CHAGAS POR HEMAGLUTINACION IND HAI,4278,$6.417
CLNE G,CHLAMYDIA PNEUMONIAE  IgG,5750,$8.625
CLNE M,CHLAMYDIA PNEUMONIAE  IgM,5750,$8.625
CLTR G,CHLAMYDIA TRACHOMATIS  IgG,5750,$8.625
CLTR M,CHLAMYDIA TRACHOMATIS  IgM,5750,$8.625
CLTR Ag,CHLAMYDIA TRACHOMATIS Antigeno,42240,$63.360
CIS,CISTINURIA,5954,$8.931
CMV G,CITOMEGALOVIRUS ANTIC. IgG,1619,$2.429
CMV M,CITOMEGALOVIRUS ANTIC. IgM,2774,$4.161
CIT,CITRICO ACIDO Orina,7116,$10.674
CITRICO,CITRICO ACIDO Suero,2320,$3.480
ACS,CITRICO ACIDO en plasma seminal,9401,$14.102
CBN,CLOBAZAN,15315,$22.973
CNZ,CLONAZEPAN,12055,$18.083
CLOS,CLOSTRIDIUM DIFFICILE TOXINA A+B INVEST.DE,41400,$62.100
CLOZAP,CLOZAPINA DETERMINACION DE,14691,$22.037
COA,COAGULOGRAMA BASICO,1228,$1.842
CU,COBRE EN SANGRE,19967,$29.951
CU-U,COBRE en orina,19967,$29.951
COCAINA,COCAINA en orina,4778,$7.167
COFACTOR,COFACTOR DE RISTOCETINA,18860,$28.290
HDL,COLESTEROL HDL,497,$746
LDL,COLESTEROL LDL,292,$438
COL,COLESTEROL TOTAL,578,$867
VLD,COLESTEROL VLDL,380,$570
C50,COMPLEMENTO Actividad total (CH50),49554,$74.331
C1Q,COMPLEMENTO C1Q,21393,$32.090
C3,COMPLEMENTO INMUNOQ. C3,814,$1.221
C4,COMPLEMENTO INMUNOQ. C4,814,$1.221
CBD,COOMBS DIRECTA PRUEBA,848,$1.272
CMF,COPROCULTIVO,4732,$7.098
CPO,COPROPORFIRINAS en orina,7639,$11.459
COR,CORTISOL PLASMATICO,1202,$1.803
COR-S,CORTISOL SALIVAL,2096,$3.144
COR-U,CORTISOL URINARIO,1202,$1.803
COR-V,CORTISOL VESPERTINO,1202,$1.803
CPK,CREATINQUINASA CPK,861,$1.292
CKM,CPK-MB,2323,$3.485
CDC,CREATININA CLEARENCE O DEPURAC.,1191,$1.787
AS-CR-U,CREATININA en orina,596,$894
CRE,CREATININA en sangre,596,$894
CRG,CRIOGLOBULINAS,1860,$2.790
CALCSAL,Calculo Salival,12104,$18.156
COV,Coronavirus SARS CoV2 (ARN),40618,$60.927
CRUE,Creatinina en orina espontanea,596,$894
DHEAS,DEHIDROEPIANDROSTERONA,14082,$21.123
DMD,"DIMERO ""D""",12087,$18.131
DOP,DOPAMINA PLASMATICA,11443,$17.165
DOO,DOPAMINA TOTAL O LIBRE orina,11305,$16.958
ANG,ENZIMA CONVERTIDORA DE ANGIOTENSINA (ECA),15721,$23.582
EB VCA G,EPSTEIN BARR Ac. VCA IgG CAPSIDE,2378,$3.567
EB VCA M,EPSTEIN BARR Ac. VCA IgM CAPSIDE,2671,$4.007
EBNA G,EPSTEIN BARR EARLY ANTIGEN Ac.IgG,11287,$16.931
EPY,ERITROPOYETINA,4520,$6.780
ERI,ERITROSEDIMENTACION,239,$359
ESPC,ESPERMOCULTIVO,8280,$12.420
ESP,ESPERMOGRAMA,2893,$4.340
E2,ESTRADIOL PLASMASTICO,990,$1.485
DOMI,EXTRACCION a DOMICILIO,3500,$5.250
ANAL-EX,EXUDADO ANAL,4735,$7.103
ENF,EXUDADO DE FAUCES,4735,$7.103
FC2,FACTOR II de coagulacion,2516,$3.774
FC9,FACTOR IX de coagulacion,4192,$6.288
FC5,FACTOR V de coagulacion,4192,$6.288
FC7,FACTOR VII de coagulacion,4290,$6.435
FC8,FACTOR VIII de coagulacion,4192,$6.288
FC10,FACTOR X de coagulacion,4290,$6.435
AFA,FENIL ACETICO ACIDO,11601,$17.402
FEB,FENOBARBITAL,2079,$3.119
FER,FERREMIA,566,$849
FET,FERRITINA,1228,$1.842
FIB,FIBRINOGENO EN SANGRE,687,$1.031
AFO,FOLICO ACIDO,1909,$2.864
AFO ERI,FOLICO ACIDO ERITROCITARIO,2251,$3.377
AC FORM,FORMICO ACIDO en ORINA,7265,$10.898
FAP,FOSFATASA ACIDA PROSTATICA,492,$738
FAL,FOSFATASA ALCALINA,909,$1.364
FAL-O,FOSFATASA ALCALINA Osea,6262,$9.393
FOU,FOSFATURIA,253,$380
FOS,FOSFORO en sangre,253,$380
ALG,FRUCTOSAMINA,463,$695
FSH,FSH,811,$1.217
FTA,FTA-ABS por IFI (ac. totales),1584,$2.376
GAs,GASTRINA,2450,$3.675
GLU,GLUCEMIA,386,$579
GPP,GLUCEMIA POST PRANDIAL,906,$1.359
GGT,GLUTAMIL TRANSPEPTIDASA GAMMA,451,$677
GRU,GRUPO SANGUINEO,2070,$3.105
HPY G,HELICOBACTER PYLORI Elisa IgG,6480,$9.720
HPY M,HELICOBACTER PYLORI Elisa IgM,12066,$18.099
HDH,HEMOGLOBINA ELECTROFORESIS DE,5946,$8.919
HGY,HEMOGLOBINA GLICOSILADA,1317,$1.976
HEM,HEMOGRAMA,1000,$1.500
HAV ac G,HEPAT. A  ANTIC.ANTI IgG,2084,$3.126
HAV ac M,HEPAT. A  ANTIC.ANTI IgM,2113,$3.170
HBSAG,HEPAT. B ANTIG. DE SUP (HBsAg),1072,$1.608
HBC Ac G,"HEPAT. B Ag. CORE, Ac. IgG",1265,$1.898
HBC Ac M,"HEPAT. B Ag. CORE, Ac. IgM",2585,$3.878
HBS Ac,HEPAT. B Ag. DE SUP  ANTIC.ANTI,1291,$1.937
HB-CV,HEPAT. B CARGA VIRAL,75943,$113.915
HCV G,HEPAT. C ANTIC.ANTI IgG ELISA,1961,$2.942
HBcAc-T,HEPATITIS B - ANTIC ANTI CORE TOTAL,1265,$1.898
HBCORE,HEPATITIS B CORE IGG,1265,$1.898
HEP,HEPATOGRAMA,1596,$2.394
HV1 GE,HERPES I ANTIC ANTI IGG ELISA,3643,$5.465
AC HIP,HIPURICO ACIDO,7340,$11.010
HIV CV,HIV CARGA VIRAL,39758,$59.637
HIV,HIV - Anticuerpos anti HIV + Antigeno P24,1521,$2.282
HOMA,HOMA,800,$1.200
HMC,HOMOCISTEINA en orina,4287,$6.431
HMS,HOMOCISTEINA en sangre,2889,$4.334
AHO,HOMOVANILICO ACIDO,10594,$15.891
AMH,HORMONA ANTI MULLERIANA,20896,$31.344
ADH,HORMONA ANTIDIURETICA,78111,$117.167
HUD,HUDDLESSON REACCION DE,1791,$2.687
IGA,INMUNOGLOBULINA A - IGA,955,$1.433
IGE,INMUNOGLOBULINA E - IGE,1009,$1.514
R CAR V,IGE ESPEC CARNE VACUNA,2820,$4.230
R ABEJA,IGE ESPECIFICA ABEJA,2820,$4.230
R ACARO,IGE ESPECIFICA ACAROS,2820,$4.230
R A-SIRO,IGE ESPECIFICA ACARUS SIRO,2820,$4.230
R AJI,IGE ESPECIFICA AJI COLORADO,2820,$4.230
R ALAMO,IGE ESPECIFICA ALAMO,2820,$4.230
R A LACT,IGE ESPECIFICA ALFA-LACTOALBUMINA,2820,$4.230
R ALMEN,IGE ESPECIFICA ALMENDRAS,2820,$4.230
R ALTER,IGE ESPECIFICA ALTERNARIA,2820,$4.230
R AMARA,IGE ESPECIFICA AMARANTUS,2820,$4.230
R AMBRO,IGE ESPECIFICA AMBROSIA,2820,$4.230
R AMOXI,IGE ESPECIFICA AMOXICILINA,2820,$4.230
R ARBOL,IGE ESPECIFICA ARBOL,2820,$4.230
R ARBUST,IGE ESPECIFICA ARBUSTO,2820,$4.230
R ARCE,IGE ESPECIFICA ARCE,2820,$4.230
R ASP-NI,IGE ESPECIFICA ARPERGILLUS NIGER,2820,$4.230
R ARTEMI,IGE ESPECIFICA ARTEMISA,2820,$4.230
R ASPER,IGE ESPECIFICA ASPERGILLUS,2820,$4.230
R ASP-FL,IGE ESPECIFICA ASPERGILLUS FLAVUS,2820,$4.230
R ASP-FU,IGE ESPECIFICA ASPERGILLUS FUMIGATUS,2820,$4.230
R AVENA,IGE ESPECIFICA AVENA,2820,$4.230
R BANANA,IGE ESPECIFICA BANANAS,2820,$4.230
R B LACT,IGE ESPECIFICA BETA-LACTOGLOBULINA,2820,$4.230
R CACAO,IGE ESPECIFICA CACAO,2820,$4.230
R CAMAR,IGE ESPECIFICA CAMARON,2820,$4.230
R CANDI,IGE ESPECIFICA CANDIDA ALBICANS,2820,$4.230
R CASEIN,IGE ESPECIFICA CASEINA,2820,$4.230
R H-CLAR,IGE ESPECIFICA CLARA DE HUEVO,2820,$4.230
R CAB-E,IGE ESPECIFICA EPITELIO DE CABALLO,2820,$4.230
R LACTOA,IGE ESPECIFICA LACTOALBUMINA,2820,$4.230
R LECHE,IGE ESPECIFICA LECHE,2820,$4.230
R OVO,IGE ESPECIFICA OVOALBUMINA,2820,$4.230
R SOJA,IGE ESPECIFICA SOJA,2820,$4.230
IGG,INMUNOGLOBULINA G -IGG,765,$1.148
IGM,INMUNOGLOBULINA M - IGM,765,$1.148
INSUL,INSULINA SERICA TOTAL,851,$1.277
ION,IONOGRAMA PLASMATICO,483,$725
IOU,IONOGRAMA URINARIO,506,$759
LDH,LACTICO DEHIDROGENASA LDH,394,$591
LAM,LAMOTRIGINA,16183,$24.275
LATEX AR,LATEX ARTRITIS REUMATOIDEA CUANTITATIVO,736,$1.104
LMF,LEUCOCITOS EN MATERIA FECAL,4660,$6.990
LH,LH HORMONA LUTEOTROFICA,842,$1.263
LIP,LIPEMIA O LIPIDOS TOTALES EN SAN,759,$1.139
LIG,LIPIDOGRAMA ELECTROFORETICO,808,$1.212
LPA,LIPOPROTEINA A,4103,$6.155
LIT,LITIO PLASMATICO,1622,$2.433
ILU,LUPICO ANTICOAGULANTE O INHIBIDOR,12429,$18.644
MGU,MAGNESIO en orina,534,$801
MGS,MAGNESIO en sangre,534,$801
AMANDE,MANDELICO ACIDO,12601,$18.902
PPD,MANTOUX INTRADERMORREACCION,2222,$3.333
MET,METANEFRINA en orina,12969,$19.454
AC METIL,METIL HIPURICO ACIDO  en ORINA,7265,$10.898
MIC1,MICOLOGICO,6426,$9.639
ALB-U2,MICROALBUMINURIA (Orina 2 hs),1297,$1.946
ALB-U,MICROALBUMINURIA - ALBUMINA EN ORINA,1671,$2.507
ALB-UE,MICROALBUMINURIA EN ORINA ESPONTANEA,1297,$1.946
AMAM2,MITOCONDRIAL TIPO 2,9781,$14.672
MONO,MONO TEST,722,$1.083
MYC,MYCOPLASMA CULTIVO,8973,$13.460
ORI,ORINA COMPLETA,1150,$1.725
PMF,PARAS. MAT FECAL,1150,$1.725
PTH,PARATHORMONA,1087,$1.631
PARO G,PAROTIDITIS ANTIC.ANTI IgG,13377,$20.066
PARO M,PAROTIDITIS ANTIC.ANTI IgM,13113,$19.670
BNP,PRO BNP,23221,$34.832
PRO CAL,PROCALCITONINA,14151,$21.227
PG,PROGESTERONA PLASMATICA,861,$1.292
PL,PROLACTINA,828,$1.242
PROT C,PROTEINA C FUNCIONAL,10896,$16.344
PCR,PROTEINA C REACTIVA,2030,$3.045
PROS L,PROTEINA S LIBRE,11877,$17.816
PRU,PROTEINAS URINARIAS 12/24 hs,1067,$1.601
PTG,PROTEINOGRAMA,5135,$7.703
20210,PROTOMBINA 20210,32565,$48.848
PRR,PRUEBA DE ROSSE RAGAN,4574,$6.861
RPCA,RESIST. A LA PROTEINA C ACTIVA,11178,$16.767
RET,RETICULOCITOS,527,$791
RUG,RUBEOLA ANTIC.ANTI IgG ELISA,2122,$3.183
RUM,RUBEOLA ANTIC.ANTI IgM ELISA,1972,$2.958
SOM,SANGRE OCULTA - MATERIA FECAL,1840,$2.760
SAT,SATURACION DE TRANSFERRINA,1075,$1.613
SEL,SELENIO,19700,$29.550
SER,SEROTONINA,14418,$21.627
SER-O,SEROTONINA EN ORINA DE 24HS,17773,$26.660
