code,name,suggested_price_from_lab,price
HPR,17-HIDROXI PROGESTERONA,6765,$8.795
NU5,5-NUCLEOTIDASA,3418,$4.443
BHB,ACIDO BETA HIDROXI BUTIRICO,15278,$19.861
ABI,ACIDOS BILIARES,5393,$7.010
Ac graso,ACIDOS GRASOS SAT.DE CADENA LARGA,98683,$128.287
ACYL,ACIL CARNITINA,98683,$128.287
ACTH,ACTH CORTICOTROFINA,1753,$2.278
AGUA-B,AGUA ANALISIS BATERIOLOGICO,17400,$22.620
AGUA-F,AGUA ANALISIS FISICO QUIMICO,45000,$58.500
ALB,ALBUMINA,4465,$5.805
ALC O,ALCOHOL EN ORINA,2523,$3.279
ALC S,ALCOHOL EN SUERO,1823,$2.369
ALD,ALDOLASA,1810,$2.353
ALR,ALDOSTERONA PLASMATICA,9668,$12.568
ALO,ALDOSTERONA en orina  (RIA),9668,$12.568
AFP,ALFA FETO PROTEINA,1475,$1.918
ALP,ALPRAZOLAN,9213,$11.976
AL,ALUMINIO,14380,$18.694
AMS,AMILASEMIA,464,$603
AMU,AMILASURIA,464,$603
AMIO,AMINOACIDOS URINARIO,85000,$110.500
AN4,ANDROSTENODIONA (delta 4),2055,$2.672
DPG A,ANTIC ANTI GLIADINA DEAMINADA IgA,6150,$7.995
AT3F,ANTIC ANTI TROMBINA III FUNCIONAL,4860,$6.318
BRUCE Tt,ANTIC. ANTI BRUCELOSIS TOTALES,6800,$8.840
DPG G,GANTIC ANTI GLIADINA DEAMINADA IgG,8750,$11.375
CCP,ANTIC. ANTI PEPTIDO CITRULINADO CICLICO IgG (Anti,10050,$13.065
AATGS,ANTIC. ANTI TIROGLOBULINA SENSIBLE,1128,$1.466
AAF,ANTIC.ANTI ACIDO FOSFATIDICO IgG,4255,$5.532
AAM,ANTIC.ANTI ACIDO FOSFATIDICO IgM,4185,$5.441
ANCA,ANTIC.ANTI ANCA (ANTI-GRANULOCITOS),9818,$12.763
,ANTIC.ANTI BETA 2 GLICOPROTEINA IgA,14848,$19.302
CARA,ANTIC.ANTI CARDIOLIPINAS IgA,11230,$14.599
CAR,ANTIC.ANTI CARDIOLIPINAS IgG,4495,$5.844
CAM,ANTIC.ANTI CARDIOLIPINAS IgM,4495,$5.844
CENB,ANTIC.ANTI CENTROMERO B,1043,$1.355
DND,ANTIC.ANTI DNA - IFI-,3630,$4.719
END,ANTIC.ANTI ENDOMISIO IgA,6233,$8.102
ENG,ANTIC.ANTI ENDOMISIO IgG,6088,$7.914
AFI,ANTIC.ANTI FACTOR INTRINSECO,9720,$12.636
AAFOL G,ANTIC.ANTI FOSFOLIPIDOS IgG,5388,$7.004
AAFOL M,ANTIC.ANTI FOSFOLIPIDOS IgM,5388,$7.004
GAA,ANTIC.ANTI GLIADINA IgA,3483,$4.527
GAG,ANTIC.ANTI GLIADINA IgG,3483,$4.527
AAH,ANTIC.ANTI HISTONA,8133,$10.572
AAI,ANTIC.ANTI INSULINA,7065,$9.185
AIL,ANTIC.ANTI ISLOTE DE LANGERHENS,10053,$13.068
AJO,ANTIC.ANTI JO1,5350,$6.955
MII,ANTIC.ANTI MITOCONDRIAL IFI,2963,$3.851
MII M2,ANTIC.ANTI MITOCONDRIAL M2,8505,$11.057
AME,ANTIC.ANTI MUSCULO ESTRIADO,1513,$1.966
,ANTIC.ANTI NUCLEARES IFI (FAN),2780,$3.614
AARPQ,ANTIC.ANTI PLAQUETAS,92135,$119.776
AP3,ANTIC.ANTI PROTEINASE 3,7615,$9.900
TRAB,ANTIC.ANTI RECEPTOR DE TSH (TRAB),7450,$9.685
AA RET,ANTIC.ANTI RETICULINA,1450,$1.885
RNP,ANTIC.ANTI RNP,5483,$7.127
ARO,ANTIC.ANTI SSA (o ANTI RO),5028,$6.536
Ala,ANTIC.ANTI SSB (o ANTI La),5028,$6.536
SCL,ANTIC.ANTI Scl 70,5028,$6.536
ASM,ANTIC.ANTI Sm (Smith),5028,$6.536
AATG,ANTIC.ANTI TIROGLOBULINA,1128,$1.466
TPO,ANTIC.ANTI TIROPEROXIDASA,1043,$1.355
ATG A,ANTIC.ANTI TRANSGLUTAMINASA IgA,4195,$5.454
ATG G,ANTIC.ANTI TRANSGLUTAMINASA IgG,6918,$8.993
ASO,"ANTIESTREPTOLISINA ""O""",1178,$1.531
DEN Ag,ANTIGENO DENGUE,20500,$26.650
PSA,ANTIGENO PROSTATICO ESPECIFICO (PSA),1257,$1.634
PSA-L,ANTIGENO PROSTATICO ESPECIFICO (PSA) - Libre,2220,$2.886
ATRMF,ANTITRIPSINA EN M. FECAL,2608,$3.390
APO A,"APOLIPOPROTEINA ""A""",1663,$2.161
APO B,"APOLIPOPROTEINA ""B""",1663,$2.161
ARL,ARTRITIS REUMATOIDEA P DEL LATEX,1563,$2.031
