code,name,suggested_price_from_lab,price
HPR,17-HIDROXI PROGESTERONA,3481,$4.525
NU5,5-NUCLEOTIDASA,2352,$3.057
BHB,ACIDO BETA HIDROXI BUTIRICO,10495,$13.644
ABI,ACIDOS BILIARES,5314,$6.908
Ac graso,ACIDOS GRASOS SAT.DE CADENA LARGA,67813,$88.156
ACYL,ACIL CARNITINA,67813,$88.156
ACTH,ACTH CORTICOTROFINA,1688,$2.194
AGUA-B,AGUA ANALISIS BATERIOLOGICO,14503,$18.854
AGUA-F,AGUA ANALISIS FISICO QUIMICO,48202,$62.663
ALB,ALBUMINA,1187,$1.543
ALC O,ALCOHOL EN ORINA,1412,$1.835
ALC S,ALCOHOL EN SUERO,1733,$2.253
ALD,ALDOLASA,1242,$1.615
ALR,ALDOSTERONA PLASMATICA,6642,$8.635
ALO,ALDOSTERONA en orina  (RIA),6642,$8.635
AFP,ALFA FETO PROTEINA,484,$629
ALP,ALPRAZOLAN,6333,$8.233
AL,ALUMINIO,6816,$8.861
AMS,AMILASEMIA,387,$503
AMU,AMILASURIA,387,$503
AMIO,AMINOACIDOS URINARIO,58369,$75.880
AN4,ANDROSTENODIONA (delta 4),1161,$1.509
DPG A,ANTIC ANTI GLIADINA DEAMINADA IgA,2787,$3.623
AT3F,ANTIC ANTI TROMBINA III FUNCIONAL,3343,$4.346
COVGAM,ANTIC COV IGG+IGM,9340,$12.142
COVM,ANTIC COV IGM,5378,$6.992
BRUCE Tt,ANTIC. ANTI BRUCELOSIS TOTALES,4675,$6.077
DPG G,ANTIC. ANTI GLIADINA DEAMINADA IgG,4172,$5.424
CCP,ANTIC. ANTI PEPTIDO CITRULINADO CICLICO IgG (Anti,6881,$8.946
AATGS,ANTIC. ANTI TIROGLOBULINA SENSIBLE,2188,$2.844
AATGU,ANTIC. ANTI TIROGLOBULINA ULTRASENSIBLE,2188,$2.844
AAF,ANTIC.ANTI ACIDO FOSFATIDICO IgG,2922,$3.799
AAM,ANTIC.ANTI ACIDO FOSFATIDICO IgM,2876,$3.739
ACTINA,ANTIC.ANTI ACTINA,7493,$9.741
ANCA,ANTIC.ANTI ANCA (ANTI-GRANULOCITOS),6744,$8.767
B2G G,ANTIC.ANTI BETA 2 GLICOPROTEINA IgG,3102,$4.033
BSG M,ANTIC.ANTI BETA 2 GLICOPROTEINA IgM,3102,$4.033
CARA,ANTIC.ANTI CARDIOLIPINAS IgA,7715,$10.030
CAR,ANTIC.ANTI CARDIOLIPINAS IgG,2267,$2.947
CAM,ANTIC.ANTI CARDIOLIPINAS IgM,2267,$2.947
CENB,ANTIC.ANTI CENTROMERO B,686,$892
DND,ANTIC.ANTI DNA - IFI-,2436,$3.167
END,ANTIC.ANTI ENDOMISIO IgA,4184,$5.439
ENG,ANTIC.ANTI ENDOMISIO IgG,4184,$5.439
AFI,ANTIC.ANTI FACTOR INTRINSECO,6679,$8.682
AFM,ANTIC.ANTI FOSFATIDIL SERINA IgM,9318,$12.113
