code,name,suggested_price_from_lab,price
HPR,17-HIDROXI PROGESTERONA,2320,$3.017
NU5,5-NUCLEOTIDASA,1568,$2.038
BHB,ACIDO BETA HIDROXI BUTIRICO,6997,$9.096
ABI,ACIDOS BILIARES,3542,$4.605
Ac graso,ACIDOS GRASOS SAT.DE CADENA LARGA,45208,$58.771
ACYL,ACIL CARNITINA,45208,$58.771
ACTH,ACTH CORTICOTROFINA,1125,$1.463
AGUA-B,AGUA ANALISIS BATERIOLOGICO,9669,$12.569
AGUA-F,AGUA ANALISIS FISICO QUIMICO,32135,$41.775
ALB,ALBUMINA,791,$1.029
ALC O,ALCOHOL EN ORINA,941,$1.223
ALC S,ALCOHOL EN SUERO,1155,$1.502
ALD,ALDOLASA,828,$1.077
ALR,ALDOSTERONA PLASMATICA,4428,$5.757
ALO,ALDOSTERONA en orina  (RIA),4428,$5.757
AFP,ALFA FETO PROTEINA,322,$419
ALP,ALPRAZOLAN,4222,$5.488
AL,ALUMINIO,4544,$5.907
AMS,AMILASEMIA,258,$335
AMU,AMILASURIA,258,$335
AMIO,AMINOACIDOS URINARIO,38913,$50.586
AN4,ANDROSTENODIONA (delta 4),774,$1.006
DPG A,ANTIC ANTI GLIADINA DEAMINADA IgA,1858,$2.415
AT3F,ANTIC ANTI TROMBINA III FUNCIONAL,2229,$2.897
COVGAM,ANTIC COV IGG+IGM,6227,$8.094
COVM,ANTIC COV IGM,3585,$4.661
BRUCE Tt,ANTIC. ANTI BRUCELOSIS TOTALES,3116,$4.051
DPG G,ANTIC. ANTI GLIADINA DEAMINADA IgG,2781,$3.616
CCP,ANTIC. ANTI PEPTIDO CITRULINADO CICLICO IgG (Anti,4588,$5.964
AATGS,ANTIC. ANTI TIROGLOBULINA SENSIBLE,1458,$1.896
AATGU,ANTIC. ANTI TIROGLOBULINA ULTRASENSIBLE,1458,$1.896
AAF,ANTIC.ANTI ACIDO FOSFATIDICO IgG,1948,$2.533
AAM,ANTIC.ANTI ACIDO FOSFATIDICO IgM,1918,$2.493
ACTINA,ANTIC.ANTI ACTINA,4995,$6.494
ANCA,ANTIC.ANTI ANCA (ANTI-GRANULOCITOS),4496,$5.845
B2G G,ANTIC.ANTI BETA 2 GLICOPROTEINA IgG,2068,$2.689
BSG M,ANTIC.ANTI BETA 2 GLICOPROTEINA IgM,2068,$2.689
CARA,ANTIC.ANTI CARDIOLIPINAS IgA,5144,$6.687
CAR,ANTIC.ANTI CARDIOLIPINAS IgG,1512,$1.965
CAM,ANTIC.ANTI CARDIOLIPINAS IgM,1512,$1.965
CENB,ANTIC.ANTI CENTROMERO B,458,$595
DND,ANTIC.ANTI DNA - IFI-,1624,$2.112
END,ANTIC.ANTI ENDOMISIO IgA,2789,$3.626
ENG,ANTIC.ANTI ENDOMISIO IgG,2789,$3.626
AFI,ANTIC.ANTI FACTOR INTRINSECO,4452,$5.788
AFM,ANTIC.ANTI FOSFATIDIL SERINA IgM,6212,$8.076
AAFOL G,ANTIC.ANTI FOSFOLIPIDOS IgG,2467,$3.207
AAFOL M,ANTIC.ANTI FOSFOLIPIDOS IgM,2467,$3.207
GAA,ANTIC.ANTI GLIADINA IgA,1073,$1.395
GAG,ANTIC.ANTI GLIADINA IgG,1130,$1.468
AAG,ANTIC.ANTI GLOMERULAR.I.F.I,3294,$4.282
AAH,ANTIC.ANTI HISTONA,3726,$4.843
AAI,ANTIC.ANTI INSULINA,4512,$5.866
AIL,ANTIC.ANTI ISLOTE DE LANGERHENS,4199,$5.459
AJO,ANTIC.ANTI JO1,2530,$3.289
MII,ANTIC.ANTI MITOCONDRIAL IFI,662,$861
MII M2,ANTIC.ANTI MITOCONDRIAL M2,3895,$5.063
AME,ANTIC.ANTI MUSCULO ESTRIADO,675,$878
MLI,ANTIC.ANTI MUSCULO LISO I.F,664,$863
FAN,ANTIC.ANTI NUCLEARES IFI,507,$659
AARPQ,ANTIC.ANTI PLAQUETAS,42211,$54.875
AP3,ANTIC.ANTI PROTEINASE 3,3489,$4.535
ACRA,ANTIC.ANTI RECEP.ACETILCOLINA,6898,$8.968
TRAB,ANTIC.ANTI RECEPTOR DE TSH estimulador,2889,$3.756
AA RET,ANTIC.ANTI RETICULINA,3294,$4.282
RNP,ANTIC.ANTI RNP,1813,$2.357
ARO,ANTIC.ANTI SSA (o ANTI RO),1663,$2.162
Ala,ANTIC.ANTI SSB (o ANTI La),1676,$2.179
SCL,ANTIC.ANTI Scl 70,1663,$2.162
ASM,ANTIC.ANTI Sm (Smith),1663,$2.162
AATG,ANTIC.ANTI TIROGLOBULINA,989,$1.286
TPO,ANTIC.ANTI TIROPEROXIDASA,551,$717
ATG A,ANTIC.ANTI TRANSGLUTAMINASA IgA,1652,$2.148
ATG G,ANTIC.ANTI TRANSGLUTAMINASA IgG,3103,$4.033
COV G,ANTICUERPOS IgG COVID 19 NUCLEOCAPSIDE,3094,$4.022
ASO,"ANTIESTREPTOLISINA ""O""",482,$626
COV Ag,ANTIGENO COVID 19,12891,$16.759
DEN Ag,ANTIGENO DENGUE,9053,$11.769
PSA,ANTIGENO PROSTATICO ESPECIFICO (PSA),698,$908
PSA-L,ANTIGENO PROSTATICO ESPECIFICO (PSA) - Libre,967,$1.258
ATRMF,ANTITRIPSINA EN M. FECAL,2778,$3.612
ATR,ANTITRIPSINA ID CUANTITATIVA,802,$1.043
APO A,"APOLIPOPROTEINA ""A""",377,$490
APO B,"APOLIPOPROTEINA ""B""",377,$490
AS-CR-U,ARSENICO / CREATININA en orina,4190,$5.447
ARL,ARTRITIS REUMATOIDEA P DEL LATEX,274,$356
AAS,ASCORBICO ACIDO,6201,$8.061
BAN-OLIG,BANDAS OLIGOCLONALES en LCR,19276,$25.059
BARTO G,BARTONELLA HENSELAE IgG,5157,$6.704
BARTO M,BARTONELLA HENSELAE IgM,5157,$6.704
BEN,BENZODIACEPINA,1010,$1.313
B2M,BETA 2 MICROGLOBULINA,689,$896
B2O,BETA 2 MICROGLOBULINA en orina,686,$892
BCROSS,BETA CROSSLAPS,2738,$3.559
BRR,BILIRRUBINEMIA TOT.DIR.INDIR.,73,$95
BPG,BORDETELLA PERTUSSIS IgG,4185,$5.440
BPM,BORDETELLA PERTUSSIS IgM,4185,$5.440
BRUCE G,BRUCELLA ANTIC.ANTI  ELISA IgG,1476,$1.919
BRUCE M,BRUCELLA ANTIC.ANTI  ELISA IgM,1476,$1.919
C125,CA 125 (ovario),540,$702
C15,CA 15/3 (mama),496,$645
C19,CA 19/9 (Digest.Ginecolog.),496,$645
C21,CA 21-1,4684,$6.090
C72,CA 72-4,3062,$3.980
CKO,CADENAS LIVIANAS en orina,6305,$8.197
CLKL,CADENAS LIVIANAS en suero cuali,7904,$10.275
CKL,"CADENAS LIVIANAS,KAPPA Y LAMBDA CUANTI",47287,$61.473
CADMIO,CADMIO Determinac.de,4641,$6.033
CA-CR-OC,CALCIO CREATININA EN ORINA OCACIONAL,403,$524
CAIL,CALCIO IONICO L,375,$488
CAS,CALCIO SERICO TOTAL,220,$286
CAU,CALCIO en orina,220,$286
CAUE,CALCIO en orina espontanea,221,$287
CAL,CALCITONINA Plasmática,1113,$1.447
C BILIAR,CALCULO BILIAR,4822,$6.269
CBZ,CARBAMAZEPINA,825,$1.073
BGT,CARIOTIPO-BANDEO G-T,29497,$38.346
CRT,CARNITINA LIBRE Y TOTAL,40999,$53.298
CATP,CATECOLAMINAS PLASMATICAS,6752,$8.777
CATP,CATECOLAMINAS TOTALES-Orina,7356,$9.563
CD16,CD 16 SUBPOBLAC. LINFOCITARIA POR CF,4486,$5.832
CD19,CD 19 SUBPOBLAC. LINFOCITARIA Citometria de fluj,5829,$7.577
CD20,CD 20 SUBPOBLAC. LINFOCITARIA Citometria de fluj,4488,$5.834
CD3,CD 3 SUBPOBLACION LINFOCITARIA POR CF,4488,$5.834
CD57,CD 4 SUBPOBLAC. LINFOCITARIA Citometria de fluj,4488,$5.834
CD4,CD 4 SUBPOBLACION LINFOCITARIA POR CF,4488,$5.834
CD56,CD 56 SUBPOBLAC. LINFOCITARIA POR CF,3655,$4.751
CD8,CD 8 SUBPOBLAC. LINFOCITARIA Citometria de fluj,3553,$4.619
CEA,CEA ANTIG CARCINOEMBRIONARIO,596,$775
CHAT,CHAGAS ANTIC. TOTALES,343,$446
CHI,CHAGAS IFI IgG,874,$1.136
CHM,CHAGAS IFI IgM,1174,$1.526
CHH,CHAGAS POR HEMAGLUTINACION IND HAI,910,$1.184
CLNE G,CHLAMYDIA PNEUMONIAE  IgG,2288,$2.975
CLNE M,CHLAMYDIA PNEUMONIAE  IgM,2288,$2.975
CLPS G,CHLAMYDIA PSITACCI  IgG,2461,$3.199
CLPS M,CHLAMYDIA PSITACCI  IgM,3299,$4.288
CLTR A,CHLAMYDIA TRACHOMATIS  IgA,5265,$6.844
CLTR G,CHLAMYDIA TRACHOMATIS  IgG,2288,$2.975
CLTR M,CHLAMYDIA TRACHOMATIS  IgM,2288,$2.975
CLTR Ag,CHLAMYDIA TRACHOMATIS Antigeno,16794,$21.832
CCL,CICLOSPORINA,6575,$8.547
CIS,CISTINURIA,2374,$3.086
CMV G,CITOMEGALOVIRUS ANTIC. IgG,734,$954
CMV M,CITOMEGALOVIRUS ANTIC. IgM,734,$954
CMV A,CITOMEGALOVIRUS ANTICUERPO ANTI,1104,$1.435
