code,name,suggested_price_from_lab,price
HPR,17-HIDROXI PROGESTERONA,2018,"$2,623"
NU5,5-NUCLEOTIDASA,1363,"$1,772"
BHB,ACIDO BETA HIDROXI BUTIRICO,6084,"$7,909"
ABI,ACIDOS BILIARES,3080,"$4,005"
Ac graso,ACIDOS GRASOS SAT.DE CADENA LARGA,39312,"$51,105"
ACYL,ACIL CARNITINA,39312,"$51,105"
ACTH,ACTH CORTICOTROFINA,978,"$1,272"
AGUA-B,AGUA ANALISIS BACTERIOLOGICO,8407,"$10,930"
AGUA-F,AGUA ANALISIS FISICO QUIMICO,27943,"$36,326"
ALB,ALBUMINA,688,$894
ALC O,ALCOHOL EN ORINA,818,"$1,064"
ALC S,ALCOHOL EN SUERO,1005,"$1,306"
ALD,ALDOLASA,720,$936
ALR,ALDOSTERONA PLASMATICA,3851,"$5,006"
ALO,ALDOSTERONA en orina  (RIA),3851,"$5,006"
AFP,ALFA FETO PROTEINA,280,$365
ALP,ALPRAZOLAN,3671,"$4,773"
AL,ALUMINIO,3951,"$5,137"
AMS,AMILASEMIA,224,$292
AMU,AMILASURIA,224,$292
AMIO,AMINOACIDOS URINARIO,33837,"$43,988"
AN4,ANDROSTENODIONA (delta 4),673,$875
DPG A,ANTIC ANTI GLIADINA DEAMINADA IgA,1616,"$2,100"
AT3F,ANTIC ANTI TROMBINA III FUNCIONAL,1938,"$2,519"
COVGAM,ANTIC COV IGG+IGM,5414,"$7,039"
COVM,ANTIC COV IGM,3118,"$4,053"
BRUCE Tt,ANTIC. ANTI BRUCELOSIS TOTALES,2710,"$3,523"
DPG G,ANTIC. ANTI GLIADINA DEAMINADA IgG,2419,"$3,144"
CCP,ANTIC. ANTI PEPTIDO CITRULINADO CICLICO IgG (Anti,3989,"$5,186"
AATGS,ANTIC. ANTI TIROGLOBULINA SENSIBLE,1268,"$1,649"
AATGU,ANTIC. ANTI TIROGLOBULINA ULTRASENSIBLE,1268,"$1,649"
AAF,ANTIC.ANTI ACIDO FOSFATIDICO IgG,1694,"$2,202"
AAM,ANTIC.ANTI ACIDO FOSFATIDICO IgM,1667,"$2,168"
ACTINA,ANTIC.ANTI ACTINA,4344,"$5,647"
ANCA,ANTIC.ANTI ANCA (ANTI-GRANULOCITOS),3909,"$5,082"
B2G G,ANTIC.ANTI BETA 2 GLICOPROTEINA IgG,1798,"$2,338"
BSG M,ANTIC.ANTI BETA 2 GLICOPROTEINA IgM,1798,"$2,338"
CARA,ANTIC.ANTI CARDIOLIPINAS IgA,4473,"$5,815"
CAR,ANTIC.ANTI CARDIOLIPINAS IgG,1314,"$1,709"
CAM,ANTIC.ANTI CARDIOLIPINAS IgM,1314,"$1,709"
CENB,ANTIC.ANTI CENTROMERO B,398,$517
DND,ANTIC.ANTI DNA - IFI-,1412,"$1,836"
END,ANTIC.ANTI ENDOMISIO IgA,2426,"$3,153"
ENG,ANTIC.ANTI ENDOMISIO IgG,2426,"$3,153"
AFI,ANTIC.ANTI FACTOR INTRINSECO,3872,"$5,033"
AFM,ANTIC.ANTI FOSFATIDIL SERINA IgM,5402,"$7,022"
